"nama","link_scholar","jabatan","halaman_profile"
"Dr. Efri Mardawati, S.TP., M.T.","https://scholar.google.co.id/citations?user=HmskG5EAAAAJ&hl=en","Ketua Pusat Kolaborasi Riset","https://www.biomassbiorefinery.com/dr-efri-mardawati-s-tp-m-t/"
"Nanang Masruchin Ph.D.","https://scholar.google.co.kr/citations?user=B4vGpEkAAAAJ&hl=en&oi=ao","Manager Pusat Kolaborasi Riset","https://www.biomassbiorefinery.com/nanang-masruchin-ph-d/"
"Dr. Riksfardini Annisa Ermawar, M.Bio (PB)","https://scholar.google.com/citations?user=Kit_APwAAAAJ&hl=id","Ketua Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-riksfardini-annisa-ermawar-m-biopb/"
"Dr. Souvia Rahimah, S.TP., M.Sc.","https://scholar.google.co.id/citations?user=280wgYQAAAAJ&hl=en","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-souvia-rahimah-s-tp-m-sc/"
"Dr.Siti Nurhasanah, STP., M.Si","https://scholar.google.com/citations?user=H3rxx0sAAAAJ&hl=en","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-siti-nurhasanah-stp-m-si/"
"Dr. Khatarina Meldawati Pasaribu, M.Si","https://scholar.google.com/citations?user=sonlXbEAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-khatarina-meldawati-pasaribu-m-si/"
"Prof. Dr. Ir. Mohamad Djali, M.S.","https://scholar.google.com/citations?user=6UUmuywAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/prof-dr-ir-mohamad-djali-m-s/"
"Bambang Nurhadi, S. T. P., M.Sc., Ph.D.","https://scholar.google.com/citations?hl=id&user=j2Jz9EwAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/bambang-nurhadi-s-t-p-m-sc-ph-d/"
"Dr. Herlina Marta, S.T.P., M.Si.","https://scholar.google.com/citations?hl=id&user=rQjKc_sAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-herlina-marta-s-t-p-m-si/"
"Dr. In-In Hanidah, S.T.P., M.Si.","https://scholar.google.com/citations?hl=id&user=cP12VZ8AAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-in-in-hanidah-s-t-p-m-si/"
"Dr. Made Tri Ari Penia Kresnowati, S.Si., M.T.","https://scholar.google.com/citations?hl=id&user=TsJcv-EAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-made-tri-ari-penia-kresnowati-s-si-m-t/"
"Robi Andoyo, S.T.P., M.Sc., Ph.D.","https://scholar.google.com/citations?hl=id&user=Km5T8eUAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/robi-andoyo-s-t-p-m-sc-ph-d/"
"Tri Yuliana, S.Si., M.Si., Ph.D.","https://scholar.google.com/citations?hl=id&user=RnskspYAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/tri-yuliana-s-si-m-si-ph-d/"
"Yudhi Dwi Kurniawan, Ph.D.","https://scholar.google.com/citations?hl=id&user=cc239CIAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/yudhi-dwi-kurniawan-ph-d/"
"Dr. Elazmanawati Lembong","https://scholar.google.com/citations?hl=id&user=R9QQaCAAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://www.biomassbiorefinery.com/dr-elazmanawati-lembong/"
"Ahmad Sofyan, Ph.D.","https://scholar.google.com/citations?hl=id&user=3NC9QycAAAAJ","Staff Riset Pakan","https://www.biomassbiorefinery.com/ahmad-sofyan-ph-d/"
"Dr. Muhamad Fatah Wiyatna, S.Pt., M.Si.","https://scholar.google.com/citations?hl=id&user=jm8GRz4AAAAJ","Ketua Riset Pakan","https://www.biomassbiorefinery.com/dr-muhamad-fatah-wiyatna-s-pt-m-si/"
"Dr. Sophia Dwiratna Nur Perwitasari, S.T.P., M.T.","https://scholar.google.com/citations?hl=id&user=kecMfToAAAAJ","Staff Riset Pakan","https://www.biomassbiorefinery.com/dr-sophia-dwiratna-nur-perwitasari-s-t-p-m-t/"
"Hendra Herdian SPt MSc","https://scholar.google.com/citations?hl=id&user=bjXjUQoAAAAJ","Staff Riset Pakan","https://www.biomassbiorefinery.com/hendra-herdian-spt-msc/"
"Roni Maryana Ph.D.","https://scholar.google.co.jp/citations?user=qxDB9WEAAAAJ&hl=en","Ketua Riset Bioenergy","https://www.biomassbiorefinery.com/roni-maryana-ph-d/"
"Dr.Awalina,M.Si","https://scholar.google.co.id/citations?user=55CBykQAAAAJ&hl=en","Staff Riset Bioenergy","https://www.biomassbiorefinery.com/dr-awalinam-si/"
"Nova Rachmadona, Ph.D.","https://scholar.google.co.id/citations?user=Cy5JVp4AAAAJ&hl=id","Staff Riset Bioenergy","https://www.biomassbiorefinery.com/nova-rachmadona/"
